,Borough,Neighborhood,ID,Name,Likes,Rating,Tips
0,Brooklyn,Kensington,4d5c12a01e43236a87eb1583,Sake Sushi,31,7.5,49
1,Brooklyn,Prospect Heights,5cb5e5f9a35f4600255406c6,Maison Yaki,82,8.3,23
2,Brooklyn,Williamsburg,51f9b7b3498eefe896caeb23,Shalom Japan,298,8.1,99
3,Brooklyn,Bedford Stuyvesant,5b3bcb69bfc6d0002ca9bf17,Warude,30,8.3,6
4,Brooklyn,Brooklyn Heights,479ccb47f964a5206b4d1fe3,Iron Chef House,142,8.1,66
5,Brooklyn,Cobble Hill,48a41073f964a52091511fe3,Hibino,485,9.1,156
6,Brooklyn,Carroll Gardens,5e4f270b03b7910008721f2e,Karazishi Botan,15,7.6,4
7,Brooklyn,Fort Greene,5739c66c498e7ef6085cec4f,Karasu,204,8.8,35
8,Brooklyn,Park Slope,5276d39a498eb1a5d90096e4,Sushi Katsuei,247,8.8,81
9,Brooklyn,Clinton Hill,4e3cadcb1f6e844231dbe017,Waza,40,7.0,29
10,Brooklyn,Downtown,5946d138e2da1964625ca9b2,Daigo Hand Roll Bar,56,8.7,12
11,Brooklyn,Boerum Hill,58a202a25490d30f87553a08,Rice & Miso,86,8.8,19
12,Brooklyn,North Side,4c7f0887fb74236a7727f9b9,Samurai Mama,898,8.8,247
13,Brooklyn,South Side,51f9b7b3498eefe896caeb23,Shalom Japan,298,8.1,99
14,Brooklyn,Fort Hamilton,4c2678eef1272d7f43a986c5,Fushimi,72,7.9,36
15,Manhattan,Chinatown,5a1e0dddb2958f1efac02a71,Shinka Ramen & Sake Bar,17,7.6,4
16,Manhattan,Hamilton Heights,531a0207498e06b4656eb8c5,Geisha Japanese Cuisine,35,7.6,15
17,Manhattan,Upper East Side,542efa85498ea11026c9746c,Kappo Masa,30,8.6,15
18,Manhattan,Yorkville,4bc11982b492d13ad88fa560,Inase Sushi,17,7.6,11
19,Manhattan,Lenox Hill,5aa1d85d5f68b931b6f5acda,Kome Waza UES,17,8.5,3
20,Manhattan,Midtown,48c50c4bf964a520dc511fe3,Café Zaiya,387,8.1,160
21,Manhattan,Midtown,51fd77be498e883bf20fcca8,OOTOYA 大戸屋 (OOTOYA),575,8.4,130
22,Manhattan,Murray Hill,559cbaa6498eaa4e8d884811,Tempura Matsui,48,8.6,12
23,Manhattan,Murray Hill,591caee89deb7d0f69be77a2,Omusubi Gonbei,14,8.3,1
24,Manhattan,Murray Hill,540dc46d498e86f0e5059dd2,Zuma New York,453,8.4,83
25,Manhattan,Chelsea,454f7cc4f964a520dc3c1fe3,Morimoto,791,8.9,353
26,Manhattan,East Village,510c85e7e4b0056826b88297,Kura,214,9.2,63
27,Manhattan,East Village,5b3805910dd31f002409405a,Suki Curry,55,9.2,15
28,Manhattan,Lower East Side,535978ff498ec5450feaef85,Azasu,69,8.3,21
29,Manhattan,Little Italy,5f375ed976cccc26893db65a,Kimika,17,8.3,8
30,Manhattan,Soho,51de06aa498e998d374ab4da,Hirohisa,74,8.8,28
31,Manhattan,West Village,59c5657f3b4e0073c245f3c4,Sushi on Jones (West 10th),37,7.7,6
32,Manhattan,Gramercy,56e8c670cd1017cb5460dc3f,Natsumi Tapas,48,6.8,7
33,Manhattan,Financial District,5d8bb403c918b1000849d6af,Chikarashi ISSO,3,7.6,3
34,Queens,Woodside,59cfbbaf491be76b026b6a84,Matsuri,9,7.3,4
35,Queens,Jackson Heights,0,0,0,0.0,0
36,Queens,Howard Beach,4c100cd3b93cc9b6482156e0,Hagane,13,6.9,4
37,Queens,Rego Park,4ee7eaf7469064168cac36bf,Bamboo Ya,48,7.8,17
38,Queens,Rego Park,4c24df99f7ced13a4d8a236d,Sato Sushi,8,6.6,3
39,Queens,Little Neck,53696c9b498ef94c9f2bc134,Tei Nei Ya,15,8.0,7
40,Queens,Jamaica Center,50f5979fe4b0ff6d3603e506,PP Boy Japan Teriyaki & Sushi,8,7.1,6
41,Queens,Murray Hill,4bc8eee83740b713fcbe5d65,Northern Sushi,6,7.9,2
42,Queens,Lindenwood,4b9ae1e3f964a52030df35e3,Kawaii,20,8.7,8
43,Queens,Rockaway Park,0,0,0,0.0,0
44,Queens,Rockaway Park,0,0,0,0.0,0
45,Staten Island,West Brighton,4bca626368f976b086615f83,Kyoto Sushi 5,4,6.5,5
46,Staten Island,Castleton Corners,4d06abf2c2e5370451f1c467,Tokyo Sushi Japanese,6,6.8,3
47,Staten Island,Great Kills,4b747a21f964a520e6de2de3,Arirang Hibachi Steakhouse,51,7.7,11
48,Staten Island,Eltingville,0,0,0,0.0,0
49,Staten Island,Grasmere,4bad3dcbf964a520173d3be3,Fuji Sushi,9,7.8,6
